id_cliente,importe_solicitado,duracion_credito,situacion_vivienda,ingresos,objetivo_credito,pct_ingreso,tasa_interes,falta_pago,antiguedad_cliente,estado_cliente,gastos_ult_12m,genero,limite_credito_tc,nivel_educativo,operaciones_ult_12m,personas_a_cargo,capacidad_pago,operaciones_mensuales,presion_financiera,estado_civil_N,estado_credito_N,antiguedad_empleado,edad
713061558.0,35000,3,ALQUILER,59000,PERSONAL,0.59,16.02,Y,36.0,ACTIVO,1088.0,M,4010.0,UNIVERSITARIO_COMPLETO,24.0,2.0,0.5932203389830508,2.0,0.21618079096045198,C,C,NA,menor_25
768805383.0,1000,2,PROPIA,9600,EDUCACIÓN,0.1,11.14,N,39.0,ACTIVO,1144.0,M,12691.0,SECUNDARIO_COMPLETO,42.0,3.0,0.10416666666666667,3.5,0.17125,C,P,5_a_10,menor_25
818770008.0,5500,3,HIPOTECA,9600,SALUD,0.57,12.87,N,44.0,ACTIVO,1291.0,F,8256.0,UNIVERSITARIO_COMPLETO,33.0,5.0,0.5729166666666666,2.75,0.32545138888888886,S,C,menor_5,25_a_30
713982108.0,35000,2,ALQUILER,65500,SALUD,0.53,15.23,N,36.0,ACTIVO,1887.0,M,3418.0,UNIVERSITARIO_COMPLETO,20.0,3.0,0.5343511450381679,1.6666666666666667,0.2959847328244275,C,C,5_a_10,menor_25
710821833.0,35000,4,ALQUILER,54400,SALUD,0.55,14.27,Y,54.0,ACTIVO,1314.0,M,9095.0,DESCONOCIDO,26.0,1.0,0.6433823529411765,2.1666666666666665,0.185,C,C,5_a_10,menor_25
769911858.0,2500,2,PROPIA,9900,INVERSIONES,0.25,7.14,N,34.0,ACTIVO,1171.0,F,3313.0,SECUNDARIO_COMPLETO,20.0,4.0,0.25252525252525254,1.6666666666666667,0.24454545454545454,N,C,menor_5,menor_25
709106358.0,35000,3,ALQUILER,77100,EDUCACIÓN,0.45,12.42,N,21.0,ACTIVO,816.0,M,4716.0,UNIVERSITARIO_INCOMPLETO,28.0,3.0,0.45395590142671854,2.3333333333333335,0.16190229139645482,C,C,5_a_10,25_a_30
810347208.0,35000,4,ALQUILER,78956,SALUD,0.44,11.11,N,46.0,ACTIVO,1330.0,M,34516.0,DESCONOCIDO,31.0,4.0,0.44328486752115104,2.5833333333333335,0.12766604184609148,C,C,5_a_10,menor_25
818906208.0,35000,2,ALQUILER,83000,PERSONAL,0.42,8.9,N,27.0,ACTIVO,1538.0,M,29081.0,SECUNDARIO_COMPLETO,36.0,0.0,0.42168674698795183,3.0,0.2293734939759036,N,C,5_a_10,menor_25
710930508.0,1600,3,PROPIA,10000,INVERSIONES,0.16,14.74,N,36.0,ACTIVO,1350.0,M,22352.0,UNIVERSITARIO_INCOMPLETO,24.0,3.0,0.16,2.0,0.18833333333333335,S,C,5_a_10,menor_25
719661558.0,35000,4,ALQUILER,85000,INVERSIONES,0.41,10.37,N,36.0,ACTIVO,1441.0,M,11656.0,UNIVERSITARIO_COMPLETO,32.0,2.0,0.4117647058823529,2.6666666666666665,0.11989411764705883,S,C,5_a_10,menor_25
708790833.0,4500,2,PROPIA,10000,MEJORAS_HOGAR,0.45,8.63,N,31.0,ACTIVO,1201.0,M,6748.0,UNIVERSITARIO_INCOMPLETO,42.0,5.0,0.45,3.5,0.34509999999999996,N,C,menor_5,menor_25
710599683.0,35000,2,ALQUILER,95000,INVERSIONES,0.37,7.9,N,36.0,ACTIVO,1539.0,M,11751.0,UNIVERSITARIO_INCOMPLETO,17.0,1.0,0.3684210526315789,1.4166666666666667,0.20041052631578946,S,C,menor_5,menor_25
816082233.0,35000,4,ALQUILER,108160,EDUCACIÓN,0.32,18.39,N,30.0,ACTIVO,1311.0,M,8547.0,UNIVERSITARIO_COMPLETO,33.0,3.0,0.323594674556213,2.75,0.09301960059171596,N,C,5_a_10,25_a_30
712396908.0,35000,4,ALQUILER,115000,EDUCACIÓN,0.3,7.9,N,48.0,ACTIVO,1570.0,F,2436.0,UNIVERSITARIO_COMPLETO,29.0,2.0,0.30434782608695654,2.4166666666666665,0.0897391304347826,C,P,menor_5,menor_25
714885258.0,30000,3,HIPOTECA,500000,PAGO_DEUDAS,0.06,10.65,N,37.0,ACTIVO,1348.0,M,4234.0,DESCONOCIDO,27.0,4.0,0.06,2.25,0.022696000000000004,N,P,5_a_10,menor_25
709967358.0,35000,4,ALQUILER,120000,EDUCACIÓN,0.29,7.9,N,36.0,ACTIVO,1671.0,M,30367.0,POSGRADO_INCOMPLETO,27.0,4.0,0.2916666666666667,2.25,0.08684166666666666,S,P,menor_5,menor_25
753327333.0,35000,4,ALQUILER,92111,SALUD,0.32,20.25,N,34.0,ACTIVO,1028.0,M,13535.0,DESCONOCIDO,21.0,3.0,0.3799763329026935,1.75,0.10615453094635818,C,C,5_a_10,menor_25
806160108.0,35000,4,ALQUILER,113000,PAGO_DEUDAS,0.31,18.25,N,56.0,ACTIVO,1336.0,M,3193.0,SECUNDARIO_COMPLETO,30.0,1.0,0.30973451327433627,2.5,0.0892566371681416,C,C,5_a_10,menor_25
709327383.0,1750,2,HIPOTECA,10800,EDUCACIÓN,0.16,10.99,N,37.0,ACTIVO,1207.0,F,14470.0,UNIVERSITARIO_COMPLETO,21.0,2.0,0.16203703703703703,1.75,0.19277777777777777,C,C,5_a_10,menor_25
806165208.0,35000,4,ALQUILER,162500,INVERSIONES,0.22,7.49,N,42.0,ACTIVO,1178.0,M,20979.0,POSGRADO_COMPLETO,27.0,1.0,0.2153846153846154,2.25,0.061095384615384614,D,P,menor_5,25_a_30
708508758.0,34800,2,ALQUILER,137000,PERSONAL,0.25,16.77,Y,49.0,PASIVO,692.0,F,1438.3,UNIVERSITARIO_COMPLETO,16.0,0.0,0.25401459854014596,1.3333333333333333,0.13205839416058396,C,P,5_a_10,25_a_30
784725333.0,34000,4,ALQUILER,65000,EDUCACIÓN,0.52,17.58,N,33.0,ACTIVO,931.0,M,4470.0,SECUNDARIO_COMPLETO,18.0,3.0,0.5230769230769231,1.5,0.1450923076923077,C,C,5_a_10,menor_25
811604133.0,1500,3,PROPIA,10980,PERSONAL,0.14,7.29,N,36.0,ACTIVO,1126.0,F,2492.0,DESCONOCIDO,23.0,4.0,0.1366120218579235,1.9166666666666667,0.14808743169398908,S,P,menor_5,menor_25
789124683.0,33950,4,ALQUILER,80000,PERSONAL,0.42,14.54,Y,42.0,ACTIVO,1110.0,M,12217.0,DESCONOCIDO,21.0,2.0,0.424375,1.75,0.11996874999999999,C,C,menor_5,menor_25
771071958.0,33000,3,ALQUILER,67746,MEJORAS_HOGAR,0.49,12.68,N,28.0,ACTIVO,1051.0,F,7768.0,UNIVERSITARIO_COMPLETO,22.0,3.0,0.4871136303250376,1.8333333333333333,0.1778850411832433,S,C,5_a_10,menor_25
788658483.0,4575,3,HIPOTECA,11000,INVERSIONES,0.42,17.74,Y,38.0,ACTIVO,1411.0,F,2650.0,UNIVERSITARIO_INCOMPLETO,28.0,2.0,0.4159090909090909,2.3333333333333335,0.26690909090909093,C,C,menor_5,menor_25
720466383.0,1400,3,PROPIA,11000,PERSONAL,0.13,9.32,N,46.0,ACTIVO,1197.0,M,14784.0,SECUNDARIO_COMPLETO,23.0,1.0,0.12727272727272726,1.9166666666666667,0.15124242424242423,N,P,menor_5,menor_25
804424383.0,32500,3,ALQUILER,65000,MEJORAS_HOGAR,0.5,9.99,N,56.0,ACTIVO,1904.0,M,10215.0,DESCONOCIDO,40.0,1.0,0.5,3.3333333333333335,0.19595897435897436,C,C,5_a_10,menor_25
715318008.0,4000,2,OTROS,11389,EDUCACIÓN,0.35,12.84,Y,36.0,ACTIVO,1407.0,F,3520.0,UNIVERSITARIO_INCOMPLETO,43.0,1.0,0.3512160856967249,3.5833333333333335,0.29914830099218537,S,C,5_a_10,menor_25
718813833.0,2000,3,PROPIA,11520,SALUD,0.17,11.12,N,34.0,ACTIVO,1052.0,F,10100.0,UNIVERSITARIO_INCOMPLETO,18.0,3.0,0.1736111111111111,1.5,0.14918981481481483,S,C,5_a_10,menor_25
806624208.0,32000,2,ALQUILER,120000,INVERSIONES,0.27,6.62,N,42.0,ACTIVO,1045.0,M,4785.0,SECUNDARIO_COMPLETO,38.0,4.0,0.26666666666666666,3.1666666666666665,0.14204166666666665,C,P,menor_5,25_a_30
778348233.0,31050,3,ALQUILER,95000,MEJORAS_HOGAR,0.33,14.17,Y,33.0,ACTIVO,1038.0,M,2753.0,DESCONOCIDO,25.0,3.0,0.3268421052631579,2.0833333333333335,0.11987368421052631,C,C,5_a_10,25_a_30
712991808.0,24250,3,ALQUILER,306000,PAGO_DEUDAS,0.08,13.85,N,48.0,ACTIVO,1596.0,M,2451.0,UNIVERSITARIO_INCOMPLETO,26.0,2.0,0.07924836601307189,2.1666666666666665,0.0316318082788671,C,P,menor_5,25_a_30
709029408.0,7800,4,HIPOTECA,300000,SALUD,0.03,13.49,N,36.0,ACTIVO,1589.0,M,8923.0,UNIVERSITARIO_COMPLETO,24.0,4.0,0.026,2.0,0.011796666666666665,C,P,mayor_10,25_a_30
787937058.0,2500,4,PROPIA,12000,EDUCACIÓN,0.21,7.51,N,49.0,ACTIVO,1291.0,M,12555.0,UNIVERSITARIO_COMPLETO,24.0,0.0,0.20833333333333334,2.0,0.15966666666666665,C,C,5_a_10,menor_25
713962233.0,30000,2,ALQUILER,48000,EDUCACIÓN,0.63,18.39,N,36.0,ACTIVO,1877.0,F,3035.0,UNIVERSITARIO_COMPLETO,37.0,3.0,0.625,3.0833333333333335,0.35160416666666666,C,C,menor_5,menor_25
708300483.0,30000,3,ALQUILER,64000,PAGO_DEUDAS,0.47,14.54,Y,56.0,PASIVO,704.0,F,7882.0,POSGRADO_COMPLETO,16.0,0.0,0.46875,1.3333333333333333,0.16725,C,C,5_a_10,menor_25
